PlotsOrig2016,PlotsMod2016,Plots2017,Location,Treated,Latitude,Longitude,UTM_N_Corr,UTM_E_Corr,Forest,District,Elevation_,Elevation1,PlotID,Completed?
109002,109002,109002,South Fork,Y,38.12008925,-120.1288987,4223033.965,751688.698,Stanislaus,MiWok,1539.631205,5049.990352,109002,
109004,109004,109004,South Fork,Y,38.1165719,-120.1315823,4222636.301,751465.476,Stanislaus,MiWok,1515.25929,4970.050471,109004,
109005,109005,109005,South Fork,Y,38.11926422,-120.129463,4222940.865,751642.052,Stanislaus,MiWok,1533.731271,5030.638567,109005,
109006,109006,109006,South Fork,Y,38.12110394,-120.1283352,4223148.113,751734.62,Stanislaus,MiWok,1540.092361,5051.502944,109006,
109007,109007,109007,South Fork,Y,38.11774026,-120.1281073,4222775.405,751766.165,Stanislaus,MiWok,1485.261317,4871.65712,109007,
109008,109008,109008,South Fork,Y,38.11937743,-120.1271509,4222959.708,751844.393,Stanislaus,MiWok,1493.975989,4900.241243,109008,
109009,109009,109009,South Fork,Y,38.121275,-120.1260877,4223173.203,751931.089,Stanislaus,MiWok,1506.625154,4941.730505,109009,
109010,109010,109010,South Fork,Y,38.12211632,-120.1261342,4223266.453,751924.123,Stanislaus,MiWok,1519.600902,4984.290958,109010,
155101,155101,155101,Granddad,Y,37.40787734,-119.6032039,4143301.957,269599.274,Sierra,Bass Lake,1464.737258,4804.338206,155101,
155102,155102,155102,Granddad,Y,37.40785207,-119.6037851,4143300.574,269547.751,Sierra,Bass Lake,1449.384261,4753.980376,155102,
155103,155103,155103,Granddad,Y,37.40778244,-119.6043012,4143294.109,269501.848,Sierra,Bass Lake,1437.108665,4713.71642,155103,Y
155104,155104,155104,Granddad,Y,37.40740714,-119.6042253,4143252.276,269507.418,Sierra,Bass Lake,1437.768842,4715.881802,155104,Y
155105,155105,155105,Granddad,Y,37.40742452,-119.6037155,4143252.958,269552.596,Sierra,Bass Lake,1447.984297,4749.388494,155105,Y
155106,155106,155106,Granddad,Y,37.40831123,-119.6032244,4143350.156,269598.791,Sierra,Bass Lake,1453.295126,4766.808012,155106,Y
155107,155107,155107,Granddad,Y,37.40824898,-119.6037556,4143344.547,269551.581,Sierra,Bass Lake,1441.919485,4729.495912,155107,Y
155108,155108,155108,Granddad,Y,37.40470784,-119.6030786,4142949.927,269600.656,Sierra,Bass Lake,1446.869732,4745.732722,155108,Y
1551112,155111,155111,Granddad,N,37.41229447,-119.6040378,4143794.17,269539.004,Sierra,Bass Lake,1438.852216,4719.435268,1551112,Y
1551122,155112,155112,Granddad,N,37.41278286,-119.6038991,4143848.028,269552.774,Sierra,Bass Lake,1445.741463,4742.031998,1551122,Y
1551132,155113,155113,Granddad,N,37.41181437,-119.605007,4143743.264,269451.738,Sierra,Bass Lake,1425.342445,4675.12322,1551132,
1551142,155114,155114,Granddad,N,37.41095944,-119.604958,4143648.271,269453.447,Sierra,Bass Lake,1437.200675,4714.018215,1551142,
1551152,155115,155115,Granddad,N,37.41138724,-119.6050333,4143695.929,269448.1,Sierra,Bass Lake,1429.96065,4690.270933,1551152,
155131,155131,155131,Pine Grove,Y,37.21253443,-119.4223418,4121198.796,285053.572,Sierra,Bass Lake,1380.641669,4528.504674,155131,
155132,155132,155132,Pine Grove,Y,37.21254865,-119.4218148,4121199.177,285100.38,Sierra,Bass Lake,1375.864822,4512.836615,155132,
155133,155133,155133,Pine Grove,Y,37.21211016,-119.4206333,4121147.839,285203.995,Sierra,Bass Lake,1370.407379,4494.936203,155133,
155134,155134,155134,Pine Grove,Y,37.21208502,-119.4212401,4121146.426,285150.073,Sierra,Bass Lake,1377.702604,4518.86454,155134,
155135,155135,155135,Pine Grove,Y,37.2112263,-119.4212294,4121051.115,285148.586,Sierra,Bass Lake,1374.748327,4509.174513,155135,
155136,155136,155136,Pine Grove,Y,37.21168846,-119.4212467,4121102.438,285148.362,Sierra,Bass Lake,1380.061873,4526.602942,155136,
