"plot","forest","aoi","loc","lat","long","utm_n","utm_e","elev","treated","live_cc","dead_cc","shrub_c","litter","woody_debris","ba_live","dbh_mn_live","dbh_max_live","class_live1","class_live2","class_live3","class_live4","class_live5","class_live6","class_live7","tpha_live","ba_dead","dbh_mn_dead","dbh_max_dead","class_dead1","class_dead2","class_dead3","class_dead4","class_dead5","class_dead6","class_dead7","tpha_dead"
"1090012","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.11205473,-120.1303058,4222138.414,751592.913,4835.407706,"No",11,13,0.5,95.5,3,57.92,44,87,0,140,160,20,20,0,0,340,50.53,35,72,120,120,100,60,0,0,0,400
"109002","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.12008925,-120.1288987,4223033.965,751688.698,5049.990352,"Yes",18,0,90,98.5,0.5,32.55,39,60,0,160,100,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0
"109004","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.1165719,-120.1315823,4222636.301,751465.476,4970.050471,"Yes",30,0,10,98,0.5,44.29,61,80,0,20,40,60,20,0,0,140,9.98,80,80,0,0,0,20,0,0,0,20
"1090042","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.11296484,-120.1291785,4222242.484,751688.643,4844.152,"No",9,18,0.5,97.5,1,22.9,21,62,301,140,20,20,0,0,0,481,61.91,40,94,140,20,20,100,20,0,0,300
"109005","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.11926422,-120.129463,4222940.865,751642.052,5030.638567,"Yes",55,0,95,99,0.5,75.85,82,92,0,0,0,40,100,0,0,140,0,0,0,0,0,0,0,0,0,0,0
"109006","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.12110394,-120.1283352,4223148.113,751734.62,5051.502944,"Yes",10,20,70,98,0.5,14.54,48,53,0,20,60,0,0,0,0,80,32.34,39,56,40,80,120,0,0,0,0,240
"109007","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.11774026,-120.1281073,4222775.405,751766.165,4871.65712,"Yes",25,0,35,98,0.5,48.54,50,89,20,60,80,40,20,0,0,220,0,0,0,0,0,0,0,0,0,0,0
"109008","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.11937743,-120.1271509,4222959.708,751844.393,4900.241243,"Yes",35,0,5,95,2,50.7,49,66,0,60,160,40,0,0,0,260,2.89,27,41,20,0,20,0,0,0,0,40
"1090082","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.1120839,-120.1314075,4222138.663,751496.207,4781.208038,"No",12,0,4,98,1,56.31,32,81,120,281,60,40,20,0,0,521,9.51,25,57,60,60,20,0,0,0,0,140
"109009","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.121275,-120.1260877,4223173.203,751931.089,4941.730505,"Yes",12,0,10,83,15,21.88,44,73,0,60,20,40,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0
"1090092","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.11294864,-120.1303039,4222237.632,751590.017,4779.85431,"No",20,0,2,97,1,49.92,23,52,501,241,160,0,0,0,0,902,7.47,14,30,381,40,0,0,0,0,0,421
"109010","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.12211632,-120.1261342,4223266.453,751924.123,4984.290958,"Yes",20,0,25,97.5,1,32.84,59,65,0,0,40,80,0,0,0,120,23.46,79,113,0,0,20,0,0,20,0,40
"1090122","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.11414661,-120.1363693,4222354.153,751054.044,4951.008905,"No",8,15,45,98.5,0.5,28.59,22,80,301,100,40,0,20,0,0,461,49.69,26,67,281,381,60,20,0,0,0,742
"1090132","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.11298092,-120.1368044,4222223.598,751019.88,4893.077758,"No",15,25,75,99,0.5,33.67,33,76,120,40,40,60,0,0,0,260,68.72,39,98,140,120,60,40,40,0,0,400
"1090142","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.11283847,-120.1359875,4222210,751092,4867.544416,"No",40,0,10,98.5,0.5,106.99,39,79,140,241,261,80,0,0,0,722,5.47,17,33,140,60,0,0,0,0,0,200
"1090152","Stanislaus","Stanislaus - Mi-Wok","South Fork",38.11376321,-120.1337774,4222318.621,751282.633,4851.323537,"No",15,25,2,97,2,23.72,22,44,221,241,40,0,0,0,0,502,72.56,35,90,180,180,60,60,40,0,0,520
"1510206","Sierra","Sierra - Bass Lake","Granddad",37.42041505,-119.587195,4144654.257,271054.622,5151.379084,"No",10,6,0,98,0.5,42.55,29,73,200,180,80,20,0,0,0,480,46.1,29,108,200,80,20,40,0,20,0,360
"1510207","Sierra","Sierra - Bass Lake","Granddad",37.42038829,-119.5866818,4144650.04,271099.958,5151.909578,"No",55,5,0,89.5,8,49.2,24,93,421,100,80,20,20,0,0,641,9.37,17,47,221,20,40,0,0,0,0,281
"1510210","Sierra","Sierra - Bass Lake","Granddad",37.41990194,-119.5872479,4144597.445,271048.375,5132.813017,"No",15,30,0.5,97,1,16.98,17,45,481,80,20,0,0,0,0,581,51.53,59,97,20,0,80,20,40,0,0,160
"155101","Sierra","Sierra - Bass Lake","Granddad",37.40787734,-119.6032039,4143301.957,269599.274,4804.338206,"Yes",10,10,4,93.5,5,17.97,29,77,80,60,20,20,0,0,0,180,42.46,49,97,20,60,40,40,20,0,0,180
"155102","Sierra","Sierra - Bass Lake","Granddad",37.40785207,-119.6037851,4143300.574,269547.751,4753.980376,"Yes",20,10,1,93.5,5,36.4,47,84,20,60,0,60,20,0,0,160,22.22,33,75,80,40,20,40,0,0,0,180
"155103","Sierra","Sierra - Bass Lake","Granddad",37.40778244,-119.6043012,4143294.109,269501.848,4713.71642,"Yes",8,6,0.5,97.5,1,22.59,34,71,80,20,60,20,0,0,0,180,24.39,40,86,40,40,40,0,20,0,0,140
"155104","Sierra","Sierra - Bass Lake","Granddad",37.40740714,-119.6042253,4143252.276,269507.418,4715.881802,"Yes",22,5,0.5,83,15,30.73,38,59,20,120,100,0,0,0,0,240,9.74,25,51,80,60,20,0,0,0,0,160
"155105","Sierra","Sierra - Bass Lake","Granddad",37.40742452,-119.6037155,4143252.958,269552.596,4749.388494,"Yes",15,25,0.5,98,0.5,32.61,50,78,20,20,40,60,0,0,0,140,44.61,42,78,60,80,20,80,0,0,0,240
"155106","Sierra","Sierra - Bass Lake","Granddad",37.40831123,-119.6032244,4143350.156,269598.791,4766.808012,"Yes",15,10,NA,98.5,0.5,43.17,49,84,40,40,20,60,20,0,0,180,42.78,35,88,140,40,0,60,20,0,0,260
"155107","Sierra","Sierra - Bass Lake","Granddad",37.40824898,-119.6037556,4143344.547,269551.581,4729.495912,"Yes",7,4,0.5,86.5,12,18.73,39,55,20,40,80,0,0,0,0,140,33.04,69,132,20,0,20,0,0,0,20,60
"155108","Sierra","Sierra - Bass Lake","Granddad",37.40470784,-119.6030786,4142949.927,269600.656,4745.732722,"Yes",20,8,0.5,92,6,52.14,36,90,100,120,80,20,40,0,0,360,62.03,35,108,180,60,40,40,0,40,0,360
"155111","Sierra","Sierra - Bass Lake","Granddad",37.41229447,-119.6040378,4143794.17,269539.004,4719.435268,"No",5,5,6,97,1,35.94,29,95,180,60,40,20,20,0,0,320,19.15,31,88,60,60,20,0,20,0,0,160
"155112","Sierra","Sierra - Bass Lake","Granddad",37.41278286,-119.6038991,4143848.028,269552.774,4742.031998,"No",30,15,1,90,8,19.38,16,57,561,60,40,0,0,0,0,661,38.47,56,133,20,20,20,20,0,0,20,100
"155113","Sierra","Sierra - Bass Lake","Granddad",37.41181437,-119.605007,4143743.264,269451.738,4675.12322,"No",3,15,30,96,0.5,16.71,23,49,160,160,20,0,0,0,0,340,55.63,50,119,60,40,20,40,20,20,0,200
